date,ETF_price
2015-12-31,2.275
2015-12-30,2.282
2015-12-29,2.29
2015-12-28,2.271
2015-12-25,2.341
2015-12-24,2.333
2015-12-23,2.353
2015-12-22,2.345
2015-12-21,2.353
2015-12-18,2.281
2015-12-17,2.261
2015-12-16,2.234
2015-12-15,2.243
2015-12-14,2.274
2015-12-11,2.207
2015-12-10,2.218
2015-12-09,2.231
2015-12-08,2.228
2015-12-07,2.25
2015-12-04,2.258
2015-12-03,2.316
2015-12-02,2.318
2015-12-01,2.202
2015-11-30,2.193
2015-11-27,2.183
2015-11-26,2.304
2015-11-25,2.311
2015-11-24,2.301
2015-11-23,2.307
2015-11-20,2.315
2015-11-19,2.327
2015-11-18,2.296
2015-11-17,2.307
2015-11-16,2.306
2015-11-13,2.301
2015-11-12,2.326
2015-11-11,2.358
2015-11-10,2.374
2015-11-09,2.384
2015-11-06,2.353
2015-11-05,2.302
2015-11-04,2.247
2015-11-03,2.139
2015-11-02,2.15
2015-10-30,2.175
2015-10-29,2.176
2015-10-28,2.173
2015-10-27,2.211
2015-10-26,2.213
2015-10-23,2.213
2015-10-22,2.197
2015-10-21,2.185
2015-10-20,2.204
2015-10-19,2.185
2015-10-16,2.186
2015-10-15,2.169
2015-10-14,2.126
2015-10-13,2.146
2015-10-12,2.154
2015-10-09,2.091
2015-10-08,2.068
2015-09-30,2.022
2015-09-29,2.003
2015-09-28,2.047
2015-09-25,2.044
2015-09-24,2.059
2015-09-23,2.053
2015-09-22,2.106
2015-09-21,2.083
2015-09-18,2.07
2015-09-17,2.07
2015-09-16,2.111
2015-09-15,2.04
2015-09-14,2.093
2015-09-11,2.065
2015-09-10,2.077
2015-09-09,2.08
2015-09-08,2.05
2015-09-07,2.015
2015-09-02,2.105
2015-09-01,2.098
2015-08-31,2.08
2015-08-28,2.041
2015-08-27,1.987
2015-08-26,1.832
2015-08-25,1.776
2015-08-24,1.927
2015-08-21,2.141
2015-08-20,2.223
2015-08-19,2.285
2015-08-18,2.269
2015-08-17,2.399
2015-08-14,2.425
2015-08-13,2.426
2015-08-12,2.414
2015-08-11,2.439
2015-08-10,2.463
2015-08-07,2.358
2015-08-06,2.327
2015-08-05,2.346
2015-08-04,2.392
2015-08-03,2.333
2015-07-31,2.318
2015-07-30,2.325
2015-07-29,2.386
2015-07-28,2.339
2015-07-27,2.348
2015-07-24,2.585
2015-07-23,2.631
2015-07-22,2.577
2015-07-21,2.606
2015-07-20,2.615
2015-07-17,2.639
2015-07-16,2.58
2015-07-15,2.589
2015-07-14,2.601
2015-07-13,2.695
2015-07-10,2.735
2015-07-09,2.629
2015-07-08,2.452
2015-07-07,2.627
2015-07-06,2.582
2015-07-03,2.428
2015-07-02,2.527
2015-07-01,2.569
2015-06-30,2.685
2015-06-29,2.505
2015-06-26,2.529
2015-06-25,2.749
2015-06-24,2.842
2015-06-23,2.802
2015-06-19,2.706
2015-06-18,2.864
2015-06-17,2.99
2015-06-16,2.964
2015-06-15,3.028
2015-06-12,3.12
2015-06-11,3.107
2015-06-10,3.126
2015-06-09,3.165
2015-06-08,3.227
2015-06-05,3.064
2015-06-04,3.069
2015-06-03,3.005
2015-06-02,3.022
2015-06-01,3.011
2015-05-29,2.887
2015-05-28,2.899
2015-05-27,3.093
2015-05-26,3.126
2015-05-25,3.11
2015-05-22,3.012
2015-05-21,2.923
2015-05-20,2.887
2015-05-19,2.887
2015-05-18,2.774
2015-05-15,2.83
2015-05-14,2.894
2015-05-13,2.904
2015-05-12,2.946
2015-05-11,2.928
2015-05-08,2.877
2015-05-07,2.867
2015-05-06,2.903
2015-05-05,2.915
2015-05-04,3.024
2015-04-30,3.011
2015-04-29,3.032
2015-04-28,3.04
2015-04-27,3.065
2015-04-24,2.986
2015-04-23,3.024
2015-04-22,3.052
2015-04-21,2.958
2015-04-20,2.922
2015-04-17,2.999
2015-04-16,2.961
2015-04-15,2.835
2015-04-14,2.824
2015-04-13,2.816
2015-04-10,2.765
2015-04-09,2.709
2015-04-08,2.729
2015-04-07,2.676
2015-04-03,2.611
2015-04-02,2.579
2015-04-01,2.592
2015-03-31,2.549
2015-03-30,2.58
2015-03-27,2.494
2015-03-26,2.489
2015-03-25,2.452
2015-03-24,2.484
2015-03-23,2.52
2015-03-20,2.481
2015-03-19,2.436
2015-03-18,2.459
2015-03-17,2.395
2015-03-16,2.363
2015-03-13,2.312
2015-03-12,2.305
2015-03-11,2.235
2015-03-10,2.221
2015-03-09,2.257
2015-03-06,2.202
2015-03-05,2.198
2015-03-04,2.224
2015-03-03,2.226
2015-03-02,2.298
2015-02-27,2.296
2015-02-26,2.307
2015-02-25,2.232
2015-02-17,2.27
2015-02-16,2.254
2015-02-13,2.25
2015-02-12,2.245
2015-02-11,2.241
2015-02-10,2.231
2015-02-09,2.195
2015-02-06,2.157
2015-02-05,2.181
2015-02-04,2.198
2015-02-03,2.229
2015-02-02,2.165
2015-01-30,2.229
2015-01-29,2.26
2015-01-28,2.299
2015-01-27,2.333
2015-01-26,2.372
2015-01-23,2.377
2015-01-22,2.353
2015-01-21,2.357
2015-01-20,2.223
2015-01-19,2.207
2015-01-16,2.452
2015-01-15,2.435
2015-01-14,2.348
2015-01-13,2.34
2015-01-12,2.354
2015-01-09,2.377
2015-01-08,2.371
2015-01-07,2.437
2015-01-06,2.441
2015-01-05,2.469
