decile,annual_mean_ret,annual_sd_ret,t_ret,max.drawdown,max.drawdown_from,max.drawdown_to,win_ratio,sharpe
1,0.090989095066218,0.330435935042546,1.21686928931278,0.199488064715923,2015-07-09,2015-08-24,0.559206315340303,0.275360774712662
2,0.106444148645124,0.329826755019066,1.41795170775969,0.197870583889366,2008-09-19,2015-06-26,0.561838981221671,0.32272745320182
3,0.0844928991237121,0.326863054786462,1.13586513849851,0.199813518221249,2008-09-19,2015-08-24,0.547690979715149,0.258496327089982
4,0.0895535503859884,0.324919388442163,1.20296965167794,0.197972219269289,2008-09-19,2015-08-24,0.556649168853893,0.275617748806422
5,0.0786861133347533,0.324347304005911,1.05885207412024,0.20032107920516,2008-09-19,2015-07-07,0.550962379702537,0.242598327049203
6,0.0870089353780101,0.318378536981462,1.19279981210151,0.200148606288793,2008-09-19,2015-08-24,0.548118985126859,0.273287691447229
7,0.0672410694801762,0.313081352917675,0.9394479635168,0.200423609534148,2008-09-19,2015-06-26,0.543771777003484,0.214771875915131
8,0.0900779666583451,0.306922179562435,1.28096655442484,0.200846842784045,2008-09-19,2015-06-26,0.537182852143482,0.293487967493145
9,0.102335715832619,0.297920357264059,1.4992516714208,0.198861435216743,2015-07-09,2015-08-24,0.538495188101487,0.343500245409263
10,0.130501878127178,0.292153592230922,1.94963369157562,0.197845893172341,2015-07-09,2015-08-24,0.536745406824147,0.44668928124638
10086,0.0356462395143727,0.137807896781929,1.12898223013161,0.141521729335608,2007-05-31,2007-06-13,0.484689413823272,0.258666160262066
